student_id,student_name,learning_style,preferred_pace,preferred_course_load,work_hours_per_week,financial_aid_status,cumulative_gpa,grade_volatility,total_courses_completed,total_credits_earned,failing_courses,failure_rate_percent,enjoyment_rate,recent_performance,avg_completed_difficulty,max_completed_difficulty,min_completed_difficulty,avg_current_difficulty,max_current_difficulty,weighted_current_difficulty,difficulty_jump,semester_difficulty_balance,course_load_difficulty_risk,courses_with_met_prereqs,total_prereqs_met,prereq_preparedness_ratio,learning_style_success_rate,degree_completion_ratio,avg_credits_per_course,current_course_load,current_credits,peer_network_size,peer_avg_gpa,professors_known,avg_course_difficulty,degree_name,total_study_time_x,page_views_x,textbooks_accessed_x,current_course_load_from_props,overall_gpa_from_props,failure_rate_from_props,enhanced_risk_level,dropout_probability,total_risk_score,pagerank,degree,communityId,page_views_y,textbooks_accessed_y,total_study_time_y,enhanced_attrition_risk_level,enhanced_is_at_risk,cumulative_gpa_normalized,grade_volatility_normalized,total_courses_completed_normalized,total_credits_earned_normalized,failing_courses_normalized,failure_rate_percent_normalized,enjoyment_rate_normalized,recent_performance_normalized,avg_completed_difficulty_normalized,max_completed_difficulty_normalized,min_completed_difficulty_normalized,avg_current_difficulty_normalized,max_current_difficulty_normalized,weighted_current_difficulty_normalized,difficulty_jump_normalized,semester_difficulty_balance_normalized,course_load_difficulty_risk_normalized,courses_with_met_prereqs_normalized,total_prereqs_met_normalized,prereq_preparedness_ratio_normalized,learning_style_success_rate_normalized,degree_completion_ratio_normalized,avg_credits_per_course_normalized,current_course_load_normalized,current_credits_normalized,preferred_course_load_normalized,work_hours_per_week_normalized,peer_network_size_normalized,peer_avg_gpa_normalized,professors_known_normalized,avg_course_difficulty_normalized,pagerank_normalized,degree_normalized,communityId_normalized,enhanced_attrition_risk_level_normalized,dropout_probability_normalized,total_risk_score_normalized,gpa_risk_inverted,enhanced_final_risk_score
AB59565,,Unknown,Standard,4,0,Unknown,2.9,1.0332406335876227,30,84.0,2,6.666666666666667,0.6333333333333333,6.333333333333333,2.933333333333333,5.0,1.0,3.0,3,18.0,0.0,0.0,0.6206896551724138,1,1,1.0,0.5,0.7,2.8,2,6.0,29,2.860895522388059,26,2.95,Bachelor of Science in Computer Science,0,5839,566,2,2.9,0.03333333333333333,LOW,1.9316666666666664,5,1.3300907440112257,60.0,943,5839,566,0,1,1,0.725,0.44279482339835935,0.75,0.7433628318584071,0.6666666666666666,0.06666666666666667,0.6333333333333333,0.7916666666666666,0.5866666666666667,1.0,0.2,0.5,0.5,0.34782608695652173,0.0,0.0,0.2795899347623486,0.2,0.1,1.0,0.5,0.7,0.8749999999999999,0.25,0.35714285714285715,1.0,0.0,0.6538461538461539,0.4908894479379544,0.896551724137931,0.5900000000000001,0.671724774807855,0.7,1.0,0.3333333333333333,0.20205859065716542,0.16666666666666666,0.275,0.3800846536191364
AE13837,,Unknown,Standard,4,0,Unknown,2.851612903225807,1.0981411468907918,31,86.0,2,6.451612903225806,0.6129032258064516,6.290322580645161,2.806451612903226,5.0,1.0,3.5,4,45.0,0.0,0.0,1.5780542986425337,3,7,2.3333333333333335,0.5,0.7166666666666667,2.774193548387097,4,13.0,15,2.8099447513812157,26,2.8,Bachelor of Arts in Computer Science,0,4817,555,4,2.851612903225807,0.0967741935483871,LOW,1.9564516129032257,5,1.0577771199638077,47.0,642,4817,555,0,1,1,0.7129032258064517,0.4706079101008797,0.775,0.7610619469026548,0.6666666666666666,0.06451612903225806,0.6129032258064516,0.7862903225806451,0.5612903225806452,1.0,0.2,0.625,0.75,0.9347826086956522,0.0,0.0,0.7108352696587991,0.6,0.7,1.0,0.5,0.7166666666666667,0.8669354838709677,0.75,0.8571428571428571,1.0,0.0,0.11538461538461539,0.3383921867470523,0.896551724137931,0.5599999999999999,0.4511071743745984,0.48333333333333334,0.6808059384941676,0.3333333333333333,0.21147804765918318,0.16666666666666666,0.2870967741935483,0.4671132904908996
AE19562,,Unknown,Standard,4,0,Unknown,2.307142857142857,0.9895331344506986,14,41.0,2,14.285714285714286,0.35714285714285715,6.714285714285714,2.9285714285714284,5.0,2.0,3.6,4,47.0,0.0,0.0,2.0371517027863777,4,6,1.5,0.5,0.3416666666666667,2.9285714285714284,5,13.0,30,2.9161662817551997,14,2.8275862068965516,Bachelor of Arts in Biology,0,2259,189,5,2.307142857142857,0.07142857142857142,LOW,2.6875,7,1.0804728286683631,48.0,642,2259,189,0,3,1,0.5767857142857142,0.4240639936841628,0.35,0.36283185840707965,0.6666666666666666,0.14285714285714288,0.35714285714285715,0.8392857142857143,0.5857142857142856,1.0,0.4,0.65,0.75,0.9782608695652174,0.0,0.0,0.9176359021560261,0.8,0.6,1.0,0.5,0.3416666666666667,0.9151785714285713,1.0,0.8571428571428571,1.0,0.0,0.6923076923076923,0.6563165702536934,0.4827586206896552,0.5655172413793104,0.46949432930320856,0.5,0.6808059384941676,1.0,0.48931116389548696,0.5,0.42321428571428577,0.7044200375740625
AF90990,,Unknown,Standard,4,0,Unknown,2.8416666666666672,1.2405704943755318,12,33.0,1,8.333333333333334,0.5,5.75,3.0833333333333335,4.0,2.0,3.5,4,17.0,0.0,0.0,0.5982404692082111,1,2,2.0,0.5,0.275,2.75,2,5.0,26,2.82816091954023,19,3.16,Bachelor of Science in Computer Science,0,2461,196,2,2.8416666666666672,0.08333333333333333,LOW,1.9562499999999998,5,0.9092001014191055,39.0,943,2461,196,0,1,0,0.7104166666666668,0.5316459449169008,0.3,0.2920353982300885,0.3333333333333333,0.08333333333333334,0.5,0.71875,0.6166666666666667,0.8,0.4,0.625,0.75,0.32608695652173914,0.0,0.0,0.26947768883252754,0.2,0.2,1.0,0.5,0.275,0.859375,0.25,0.2857142857142857,1.0,0.0,0.5384615384615384,0.3929137513622278,0.6551724137931034,0.632,0.3307360198812341,0.35,1.0,0.3333333333333333,0.21140142517814722,0.16666666666666666,0.2895833333333332,0.3828538710998388
AG78915,,Unknown,Standard,4,0,Unknown,2.953333333333333,0.5604420024366823,15,42.0,0,0.0,0.6666666666666666,5.933333333333334,3.066666666666667,4.0,2.0,2.5,4,27.0,0.0,0.0,0.9142212189616253,3,5,1.6666666666666667,0.5,0.35,2.8,4,11.0,29,2.8897260273972623,19,3.111111111111111,Bachelor of Science in Biology,0,2961,242,4,2.953333333333333,0.0,LOW,1.9116666666666666,5,1.021635147093196,45.0,943,2961,242,0,0,0,0.7383333333333333,0.24017717599075494,0.375,0.37168141592920356,0.0,0.0,0.6666666666666666,0.7416666666666667,0.6133333333333334,0.8,0.4,0.375,0.75,0.5434782608695652,0.0,0.0,0.4118113598926241,0.6,0.5,1.0,0.5,0.35,0.8749999999999999,0.75,0.7142857142857143,1.0,0.0,0.6538461538461539,0.5771800568094769,0.6551724137931034,0.6222222222222222,0.4218263943272152,0.45,1.0,0.0,0.19445764053840064,0.16666666666666666,0.2616666666666667,0.3085289386451915
AJ09811,,Unknown,Standard,4,0,Unknown,2.7833333333333337,0.7952510562232801,12,34.0,0,0.0,0.4166666666666667,5.833333333333333,3.0,5.0,1.0,1.75,3,14.0,0.0,0.0,0.5029940119760479,2,4,2.0,0.5,0.2833333333333333,2.8333333333333335,4,9.0,31,2.816666666666669,19,3.0,Bachelor of Science in Biology,0,1184,212,4,2.7833333333333337,0.0,LOW,1.9541666666666666,5,0.9780646941640381,44.0,836,1184,212,0,0,0,0.6958333333333334,0.3408044936977247,0.3,0.3008849557522124,0.0,0.0,0.4166666666666667,0.7291666666666666,0.6,1.0,0.2,0.1875,0.5,0.2608695652173913,0.0,0.0,0.22657387926849007,0.4,0.4,1.0,0.5,0.2833333333333333,0.8854166666666666,0.75,0.5714285714285714,1.0,0.0,0.7307692307692307,0.3585110907544366,0.6551724137931034,0.6,0.3865273570181339,0.43333333333333335,0.8865323435843054,0.0,0.21060965954077593,0.16666666666666666,0.3041666666666666,0.27573144252036463
AJ31653,,Unknown,Standard,4,0,Unknown,2.8529411764705888,1.088572959127696,34,94.0,2,5.882352941176471,0.6470588235294118,6.117647058823529,2.735294117647059,5.0,1.0,2.8,4,38.0,0.0,0.0,1.3319587628865976,4,8,2.0,0.5,0.7833333333333333,2.764705882352941,5,14.0,25,2.876033057851241,29,2.7246376811594204,Bachelor of Arts in Computer Science,0,6564,565,5,2.8529411764705888,0.08823529411764706,LOW,2.254411764705882,6,1.4433333427637431,62.0,943,6564,565,0,1,1,0.7132352941176472,0.46650746740333354,0.85,0.831858407079646,0.6666666666666666,0.05882352941176471,0.6470588235294118,0.7647058823529411,0.5470588235294118,1.0,0.2,0.44999999999999996,0.75,0.782608695652174,0.0,0.0,0.5999814247236926,0.8,0.8,1.0,0.5,0.7833333333333333,0.863970588235294,1.0,0.9285714285714286,1.0,0.0,0.5,0.5361965680010706,1.0,0.5449275362318841,0.7634693964403596,0.7333333333333333,1.0,0.3333333333333333,0.32471706022076274,0.3333333333333333,0.2867647058823528,0.44377079474866005
AJ75692,,Unknown,Standard,4,0,Unknown,2.5935483870967744,1.0178197233534592,31,83.0,3,9.67741935483871,0.45161290322580644,6.096774193548387,2.838709677419355,5.0,1.0,2.3333333333333335,3,21.0,0.0,0.0,0.8097014925373134,1,2,2.0,0.5,0.6916666666666667,2.6774193548387095,3,9.0,23,2.7661921708185053,27,2.8870967741935485,Bachelor of Science in Biology,0,5732,563,3,2.5935483870967744,0.06451612903225806,LOW,2.014516129032258,5,1.2713696089702793,54.0,943,5732,563,0,1,1,0.6483870967741936,0.4361861990355435,0.775,0.7345132743362832,1.0,0.0967741935483871,0.45161290322580644,0.7620967741935484,0.567741935483871,1.0,0.2,0.33333333333333337,0.5,0.41304347826086957,0.0,0.0,0.3647304020438349,0.2,0.2,1.0,0.5,0.6916666666666667,0.8366935483870966,0.5,0.5714285714285714,1.0,0.0,0.4230769230769231,0.20743933610321322,0.9310344827586207,0.5774193548387097,0.6241512611697897,0.6,1.0,0.3333333333333333,0.23354532219753282,0.16666666666666666,0.3516129032258064,0.4107955427743583
AJ85560,,Unknown,Standard,4,0,Unknown,2.766666666666667,0.9917305136803576,18,52.0,0,0.0,0.5,5.944444444444445,2.9444444444444446,4.0,1.0,3.5,4,18.0,0.0,0.0,0.6506024096385541,2,3,1.5,0.5,0.43333333333333335,2.888888888888889,2,5.0,26,2.845573770491805,20,2.8421052631578947,Bachelor of Science in Computer Science,0,3243,340,2,2.766666666666667,0.05555555555555555,LOW,1.969444444444444,5,1.0072888960746476,45.0,943,3243,340,0,0,0,0.6916666666666668,0.42500567959575697,0.45,0.46017699115044247,0.0,0.0,0.5,0.7430555555555556,0.5888888888888889,0.8,0.2,0.625,0.75,0.34782608695652173,0.0,0.0,0.29306414848583523,0.4,0.3,1.0,0.5,0.43333333333333335,0.9027777777777777,0.25,0.2857142857142857,1.0,0.0,0.5384615384615384,0.4450309622928313,0.6896551724137931,0.5684210526315789,0.4102036358772958,0.45,1.0,0.0,0.21641594088149899,0.16666666666666666,0.30833333333333324,0.28944616303050036
AL07451,,Unknown,Standard,4,0,Unknown,2.88,0.8497058314499201,5,15.0,0,0.0,0.2,5.2,3.6,5.0,2.0,3.0,3,6.0,0.0,0.0,0.20833333333333334,0,0,0.0,0.5,0.125,3.0,1,2.0,29,2.841247002398082,8,3.888888888888889,Bachelor of Arts in Computer Science,0,782,80,1,2.88,0.0,LOW,1.93,5,0.8081673107927845,34.0,642,782,80,0,0,1,0.72,0.364141063898177,0.125,0.13274336283185842,0.0,0.0,0.2,0.65,0.72,1.0,0.4,0.5,0.5,0.08695652173913043,0.0,0.0,0.09384384384384385,0.0,0.0,0.0,0.5,0.125,0.9375,0.0,0.07142857142857142,1.0,0.0,0.6538461538461539,0.43208080921247194,0.27586206896551724,0.7777777777777778,0.24888329616597385,0.26666666666666666,0.6808059384941676,0.0,0.2014251781472684,0.16666666666666666,0.28,0.09676876876876878
